AAAS Afrcn and Afrcn-Amer Stds,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,26269,ADVR,6328,1,11M,3,Strategic Advertising Campaign,MW,02:20 pm-03:45 pm,20,0,20,100,0,100,20,0,20,Joel Mondell Nichols (P),01/17-05/04,MJ 106,
AERO Aerospace Studies,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10203,AERO,1112,1,11M,1,Heritage&Values of the USAF II,T,09:40 am-11:05 am,20,0,20,0,0,0,0,0,0,"Evell F Ballard , Corey Buran , David Lucas Helton",01/17-05/04,HH 207,
NR,10205,AERO,1112,2,11M,1,Heritage&Values of the USAF II,F,09:10 am-10:05 am,20,0,20,0,0,0,0,0,0,"Evell F Ballard , Corey Buran , David Lucas Helton",01/17-05/04,HH 207,
NR,27794,AERO,1112,101,11M,0,Heritage&Values USAF II Lab,TR,06:00 am-07:00 am,20,0,20,0,0,0,80,0,80,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,FH TRK,
,,,,,,,,T,01:00 pm-03:00 pm,,,,,,,,,,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,EA 203,
NR,10209,AERO,2212,1,11M,1,Team & Leader Fundamentals II,W,09:10 am-10:05 am,20,0,20,0,0,0,0,0,0,"Evell F Ballard , Corey Buran , David Lucas Helton",01/17-05/04,HH 206,
NR,10210,AERO,2212,2,11M,1,Team & Leader Fundamentals II,R,01:00 pm-02:00 pm,20,0,20,0,0,0,0,0,0,"Evell F Ballard , Corey Buran , David Lucas Helton",01/17-05/04,HH 206,
NR,27799,AERO,2212,101,11M,0,Team & Leader Fund II Lab,TR,06:00 am-07:00 am,20,0,20,0,0,0,80,0,80,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,FH TRK,
